id,q1,q2,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
12,1000000*n,-1000000*n,0.5,100000000.0,False,50,100,100,1.0,200,200,1.0,1078,5,2,1796569.293645,-1.058666685342177,,,0
9,n**2+20,-n**2+20,0.5,1000.0,False,50,20,100,1.0,50,50,1.0,100,5,2,143077.599567,-1.5083622109709467,,,0
18,n**3/0.99,-n**3/0.01,0.99,100000000.0,False,50,100,100,1.0,50,50,1.0,732,5,2,240847.043436,-1.502366861693472,,,0
16,n**3/0.9,-n**3/0.1,0.9,100000000.0,False,50,100,100,1.0,200,200,1.0,1102,5,2,1797063.248533,-2.4446610573444683,,,0
9,n**2+20,-n**2+20,0.5,1000.0,False,50,20,100,1.0,50,200,1.0,290,5,2,572513.401311,-1.7463488307216268,,,0
12,1000000*n,-1000000*n,0.5,100000000.0,False,50,100,100,1.0,50,200,1.0,888,5,2,1246862.195487,-1.0377979764029923,,,0
13,n**3,-n**3,0.5,100000000.0,False,50,100,100,1.0,200,200,1.0,1086,5,2,2032681.915916,-2.4444974128079813,,,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,100,100,1.0,50,200,1.0,770,5,2,1222446.52601,-0.5230920496959578,,,0
16,n**3/0.9,-n**3/0.1,0.9,100000000.0,False,50,100,100,1.0,50,200,1.0,912,5,2,1208650.625498,-2.253701527136121,,,0
18,n**3/0.99,-n**3/0.01,0.99,100000000.0,False,50,20,100,1.0,200,200,1.0,542,5,2,1218618.559655,-1.8210579825884317,,,0
6,n,-n,0.5,1000.0,False,50,20,100,1.0,200,200,1.0,446,5,2,1282909.980572,-1.0179569564346451,,,0
12,1000000*n,-1000000*n,0.5,100000000.0,False,50,20,100,1.0,50,50,1.0,130,5,2,139736.699287,-0.8997117087275196,,,0
1,n**(1/2),-n**(1/2),0.5,100.0,False,50,20,100,1.0,50,200,1.0,206,5,2,564821.839507,-0.6955454741374147,,,0
9,n**2+20,-n**2+20,0.5,1000.0,False,50,100,100,1.0,200,200,1.0,1048,5,2,2192324.932575,-1.7292330350532439,,,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,False,50,100,100,1.0,50,200,1.0,846,5,2,1208557.95856,-1.7504314624207622,,,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,20,100,1.0,50,50,1.0,8,5,2,133216.345966,-0.4525862216965871,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,100,100,1.0,50,50,1.0,748,5,2,227873.513837,-0.8675306007343749,,,0
7,n,-n,0.5,10000.0,False,50,100,100,1.0,50,50,1.0,648,5,2,215384.918455,-0.906311234053159,,,0
2,n,-n,0.5,100.0,False,50,20,100,1.0,200,200,1.0,404,5,2,1207141.735674,-1.050846943208219,,,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,False,50,20,100,1.0,50,200,1.0,374,5,2,538658.845029,-0.772578708042386,,,0
5,n,-n,0.5,10.0,False,50,20,100,1.0,50,200,1.0,244,5,2,564696.565399,-1.0480023381995145,,,0
4,n**5,-n**5,0.5,100.0,False,50,20,100,1.0,50,50,1.0,42,5,2,145300.061334,-3.3205074008445075,,,0
3,n**2,-n**2,0.5,100.0,False,50,100,100,1.0,50,50,1.0,602,5,2,222280.928015,-1.5093391589895626,,,0
18,n**3/0.99,-n**3/0.01,0.99,100000000.0,False,50,20,100,1.0,50,50,1.0,162,5,2,194941.117843,-1.5019427104779175,,,0
10,n**2+n,-n**2+n,0.5,1000.0,False,50,100,100,1.0,50,200,1.0,864,5,2,1223836.006084,-1.7453421078295903,,,0
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,False,50,100,100,1.0,200,200,1.0,1062,5,2,1796429.888051,-2.464505503494596,,,0
14,n**3/0.5,n**3/0.5,0.5,100000000.0,False,50,100,100,1.0,50,200,1.0,906,5,2,1289778.908876,-2.407714521467474,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,100,100,1.0,200,200,1.0,1130,5,2,1799467.837862,-1.2113610251426479,,,0
7,n,-n,0.5,10000.0,False,50,100,100,1.0,200,200,1.0,1030,5,2,2143916.986769,-1.022521575678582,,,0
9,n**2+20,-n**2+20,0.5,1000.0,False,50,100,100,1.0,50,50,1.0,670,5,2,211955.215304,-1.5092771646369665,,,0
3,n**2,-n**2,0.5,100.0,False,50,20,100,1.0,50,200,1.0,222,5,2,577526.442712,-1.701890116625099,,,0
4,n**5,-n**5,0.5,100.0,False,50,20,100,1.0,200,200,1.0,422,5,2,1082185.227366,-3.8669113122598255,,,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,False,50,100,100,1.0,50,50,1.0,754,5,2,230341.165873,-0.5650832493524331,,,0
5,n,-n,0.5,10.0,False,50,100,100,1.0,50,50,1.0,624,5,2,211193.41046,-0.905731089809789,,,0
2,n,-n,0.5,100.0,False,50,20,100,1.0,50,50,1.0,24,5,2,135213.161822,-0.9066021874221978,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,20,100,1.0,50,200,1.0,368,5,2,579371.452916,-1.1657993918997878,,,0
7,n,-n,0.5,10000.0,False,50,20,100,1.0,50,200,1.0,268,5,2,566622.860357,-1.0503703846704822,,,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,20,100,1.0,200,200,1.0,388,5,2,1186882.080858,-0.5235544715002074,,,0
1,n**(1/2),-n**(1/2),0.5,100.0,False,50,100,100,1.0,50,50,1.0,586,5,2,213196.595,-0.6043393955880357,,,0
12,1000000*n,-1000000*n,0.5,100000000.0,False,50,20,100,1.0,200,200,1.0,510,5,2,1298041.248562,-1.0349399871935434,,,0
6,n,-n,0.5,1000.0,False,50,20,100,1.0,50,50,1.0,66,5,2,139301.737887,-0.905607014658341,,,0
2,n,-n,0.5,100.0,False,50,20,100,1.0,50,200,1.0,214,5,2,579872.041444,-1.0381874287545374,,,0
5,n,-n,0.5,10.0,False,50,20,100,1.0,200,200,1.0,434,5,2,1238603.938702,-1.0431683247119488,,,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,False,50,20,100,1.0,200,200,1.0,564,5,2,1222758.53932,-0.7776376827935969,,,0
4,n**5,-n**5,0.5,100.0,False,50,100,100,1.0,50,50,1.0,612,5,2,218364.919819,-3.3243503149967095,,,0
3,n**2,-n**2,0.5,100.0,False,50,20,100,1.0,50,50,1.0,32,5,2,135364.920044,-1.5107030773881205,,,0
12,1000000*n,-1000000*n,0.5,100000000.0,False,50,100,100,1.0,50,50,1.0,700,5,2,221715.066098,-0.902990782020394,,,0
6,n,-n,0.5,1000.0,False,50,20,100,1.0,50,200,1.0,256,5,2,594378.81821,-1.0100088143869974,,,0
1,n**(1/2),-n**(1/2),0.5,100.0,False,50,20,100,1.0,200,200,1.0,396,5,2,1166700.376523,-0.7032035680889114,,,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,100,100,1.0,50,50,1.0,578,5,2,219039.997156,-0.45337361994851727,,,0
7,n,-n,0.5,10000.0,False,50,20,100,1.0,50,50,1.0,78,5,2,144036.495442,-0.9057788070466977,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,20,100,1.0,50,50,1.0,178,5,2,163083.914232,-0.8697230796519984,,,0
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,False,50,100,100,1.0,50,200,1.0,872,5,2,1291000.092878,-2.4514598223186006,,,0
10,n**2+n,-n**2+n,0.5,1000.0,False,50,100,100,1.0,200,200,1.0,1054,5,2,1727712.857309,-1.7618913860176266,,,0
